Chart_type,mean,sd,se,ci_lo,ci_hi,n
100% Stacked Bar chart,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,3
AreaChart,50.0,0.0,0.0,50.0,50.0,3
Bar chart,25.0,0.0,0.0,25.0,25.0,3
BubbleChart,47.61904761904761,8.247860988423225,4.761904761904762,27.128571428571423,68.10952380952381,3
Histogram,66.66666666666666,0.0,0.0,66.66666666666666,66.66666666666666,3
Line chart,40.0,0.0,0.0,40.0,40.0,3
Map,22.222222222222218,19.245008972987524,11.11111111111111,-25.588888888888892,70.03333333333333,3
Pie chart,0.0,0.0,0.0,0.0,0.0,3
Scatterplot,42.857142857142854,0.0,0.0,42.857142857142854,42.857142857142854,3
Stacked Bar chart,40.0,0.0,0.0,40.0,40.0,3
StackedAreaChart,66.66666666666666,0.0,0.0,66.66666666666666,66.66666666666666,3
Treemap,100.0,0.0,0.0,100.0,100.0,3
