Misleader,mean,sd,se,ci_lo,ci_hi,n
Cherry Picking,83.33333333333333,28.867513459481287,16.666666666666668,11.61666666666666,155.05,3
Concealed Uncertainty,55.55555555555554,19.24500897298752,11.111111111111109,7.74444444444444,103.36666666666665,3
Inappropriate Aggregation,22.222222222222218,9.622504486493762,5.555555555555555,-1.6833333333333371,46.12777777777777,3
Manipulation of Scales - Inappropriate Order,0.0,0.0,0.0,0.0,0.0,3
Manipulation of Scales - Inappropriate Scale Range,20.833333333333332,7.216878364870322,4.166666666666667,2.904166666666665,38.7625,3
Manipulation of Scales - Inappropriate Use of Scale Functions,33.333333333333336,14.433756729740644,8.333333333333334,-2.5249999999999986,69.19166666666666,3
Manipulation of Scales - Unconventional Scale Directions,30.0,10.0,5.773502691896258,5.156617916770401,54.8433820832296,3
Misleading Annotation,11.111111111111109,19.245008972987524,11.11111111111111,-36.7,58.92222222222222,3
Misleading Annotations,33.333333333333336,57.735026918962575,33.333333333333336,-110.1,176.76666666666668,3
Missing Data,0.0,0.0,0.0,0.0,0.0,3
Missing Normalization,66.66666666666667,57.73502691896258,33.333333333333336,-76.76666666666667,210.10000000000002,3
Overplotting,33.333333333333336,57.735026918962575,33.333333333333336,-110.1,176.76666666666668,3
