Task,mean,sd,se,ci_lo,ci_hi,n
Determine Range,26.666666666666668,30.550504633038933,17.638342073763937,-49.23111927673955,102.56445261007289,3
Find Anomalies,16.666666666666668,28.867513459481287,16.666666666666668,-55.05,88.38333333333334,3
Find Clusters,33.333333333333336,28.86751345948129,16.666666666666668,-38.38333333333333,105.05000000000001,3
Find Correlations/Trends,75.0,25.0,14.433756729740645,12.891544791926002,137.108455208074,3
Find Extremum,20.833333333333332,14.433756729740645,8.333333333333334,-15.025000000000002,56.69166666666666,3
Find Extremum (derived value),0.0,0.0,0.0,0.0,0.0,3
Find Extremum (relative value),22.222222222222218,19.245008972987524,11.11111111111111,-25.588888888888892,70.03333333333333,3
Identify the Hierarchical Structure,66.66666666666667,57.735026918962575,33.333333333333336,-76.76666666666667,210.10000000000002,3
Make Comparisons,41.666666666666664,38.18813079129867,22.047927592204925,-53.20556576259113,136.53889909592445,3
Make Comparisons (absolute value),33.333333333333336,28.867513459481287,16.666666666666668,-38.38333333333333,105.05000000000001,3
Make Comparisons (derived value),55.55555555555554,19.24500897298752,11.111111111111109,7.74444444444444,103.36666666666665,3
Make Comparisons (relative value),33.333333333333336,23.09401076758503,13.333333333333334,-24.04,90.70666666666668,3
Retrieve Value,22.222222222222218,19.245008972987524,11.11111111111111,-25.588888888888892,70.03333333333333,3
Retrieve Value (absolute value),16.666666666666668,28.867513459481287,16.666666666666668,-55.05,88.38333333333334,3
Retrieve Value (derived value),33.333333333333336,57.735026918962575,33.333333333333336,-110.1,176.76666666666668,3
Retrieve Value (relative value),8.333333333333334,14.433756729740644,8.333333333333334,-27.525,44.19166666666667,3
