Chart_type,mean,sd,se,ci_lo,ci_hi,n
100% Stacked Bar chart,22.222222222222218,19.245008972987524,11.11111111111111,-25.588888888888892,70.03333333333333,3
AreaChart,8.333333333333334,14.433756729740644,8.333333333333334,-27.525,44.19166666666667,3
Bar chart,8.333333333333334,14.433756729740644,8.333333333333334,-27.525,44.19166666666667,3
BubbleChart,38.095238095238095,29.738085706659042,17.16929178792376,-35.78422446819784,111.97470065867404,3
Histogram,44.444444444444436,19.245008972987524,11.11111111111111,-3.3666666666666742,92.25555555555555,3
Line chart,40.0,20.0,11.547005383792516,-9.686764166459199,89.6867641664592,3
Map,55.55555555555554,19.24500897298752,11.111111111111109,7.74444444444444,103.36666666666665,3
Pie chart,22.222222222222218,19.245008972987524,11.11111111111111,-25.588888888888892,70.03333333333333,3
Scatterplot,33.333333333333336,8.247860988423225,4.761904761904762,12.842857142857145,53.82380952380953,3
Stacked Bar chart,20.0,34.64101615137755,20.000000000000004,-66.06000000000002,106.06000000000002,3
StackedAreaChart,33.333333333333336,16.666666666666668,9.622504486493764,-8.072303472049327,74.738970138716,3
Treemap,44.444444444444436,19.245008972987524,11.11111111111111,-3.3666666666666742,92.25555555555555,3
