Chart_type,mean,sd,se,ci_lo,ci_hi,n
100% Stacked Bar chart,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,3
AreaChart,0.0,0.0,0.0,0.0,0.0,3
Bar chart,0.0,0.0,0.0,0.0,0.0,3
BubbleChart,42.857142857142854,0.0,0.0,42.857142857142854,42.857142857142854,3
Histogram,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,3
Line chart,20.0,0.0,0.0,20.0,20.0,3
Map,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,3
Pie chart,66.66666666666666,0.0,0.0,66.66666666666666,66.66666666666666,3
Scatterplot,28.57142857142857,0.0,0.0,28.57142857142857,28.57142857142857,3
Stacked Bar chart,20.0,0.0,0.0,20.0,20.0,3
StackedAreaChart,66.66666666666666,0.0,0.0,66.66666666666666,66.66666666666666,3
Treemap,100.0,0.0,0.0,100.0,100.0,3
